,TOP_RGB,BOTTOM_RGB,path
552,"(200, 192, 186)","(171, 156, 149)",businesscasual_images/10_22.webp
553,"(134, 111, 102)","(127, 110, 101)",businesscasual_images/10_23.webp
554,"(62, 74, 88)","(60, 75, 90)",businesscasual_images/10_24.webp
555,"(111, 115, 127)","(38, 46, 56)",businesscasual_images/10_25.webp
556,"(71, 75, 87)","(81, 63, 63)",businesscasual_images/10_26.webp
557,"(154, 141, 136)","(61, 57, 64)",businesscasual_images/10_27.webp
558,"(122, 105, 104)","(135, 116, 110)",businesscasual_images/10_28.webp
560,"(144, 111, 50)","(120, 88, 67)",businesscasual_images/10_30.webp
562,"(54, 54, 60)","(60, 60, 64)",businesscasual_images/10_32.webp
564,"(70, 64, 75)","(161, 135, 135)",businesscasual_images/10_34.webp
565,"(108, 115, 141)","(173, 157, 167)",businesscasual_images/10_35.webp
566,"(57, 63, 79)","(78, 86, 108)",businesscasual_images/10_36.webp
567,"(93, 96, 120)","(63, 65, 89)",businesscasual_images/10_37.webp
569,"(107, 99, 113)","(105, 111, 125)",businesscasual_images/10_39.webp
570,"(71, 70, 70)","(32, 31, 31)",businesscasual_images/10_40.webp
572,"(15, 16, 25)","(114, 87, 63)",businesscasual_images/10_42.webp
574,"(136, 131, 120)","(137, 124, 123)",businesscasual_images/10_44.webp
575,"(87, 88, 70)","(23, 23, 25)",businesscasual_images/10_45.webp
576,"(106, 105, 102)","(129, 127, 125)",businesscasual_images/10_46.webp
577,"(70, 72, 66)","(68, 70, 69)",businesscasual_images/10_47.webp
578,"(117, 90, 63)","(136, 100, 59)",businesscasual_images/10_48.webp
579,"(136, 129, 117)","(100, 96, 87)",businesscasual_images/10_49.webp
580,"(32, 40, 57)","(157, 145, 138)",businesscasual_images/10_50.webp
581,"(168, 158, 163)","(159, 161, 164)",businesscasual_images/10_51.webp
582,"(172, 170, 173)","(56, 58, 69)",businesscasual_images/10_52.webp
583,"(65, 59, 68)","(59, 57, 65)",businesscasual_images/10_53.webp
584,"(50, 43, 43)","(55, 57, 59)",businesscasual_images/10_54.webp
586,"(52, 58, 51)","(126, 126, 121)",businesscasual_images/10_56.webp
587,"(155, 168, 191)","(35, 40, 49)",businesscasual_images/10_57.webp
588,"(213, 199, 180)","(204, 187, 169)",businesscasual_images/10_58.webp
589,"(86, 88, 96)","(72, 74, 83)",businesscasual_images/10_59.webp
