,TOP_RGB,BOTTOM_RGB,path
440,"(118, 140, 169)","(122, 135, 162)",amecaji_images/8_27.webp
441,"(129, 117, 107)","(96, 92, 84)",amecaji_images/8_28.webp
443,"(60, 87, 131)","(89, 136, 179)",amecaji_images/8_30.webp
444,"(61, 60, 54)","(163, 131, 96)",amecaji_images/8_31.webp
445,"(99, 102, 91)","(107, 97, 88)",amecaji_images/8_32.webp
446,"(21, 45, 76)","(135, 105, 85)",amecaji_images/8_34.webp
447,"(76, 81, 94)","(68, 74, 88)",amecaji_images/8_35.webp
448,"(80, 84, 105)","(49, 52, 69)",amecaji_images/8_36.webp
449,"(39, 38, 41)","(30, 30, 33)",amecaji_images/8_37.webp
450,"(52, 56, 62)","(66, 66, 71)",amecaji_images/8_38.webp
451,"(60, 70, 68)","(46, 52, 54)",amecaji_images/8_39.webp
452,"(114, 76, 48)","(143, 114, 94)",amecaji_images/8_40.webp
453,"(111, 101, 97)","(174, 153, 132)",amecaji_images/8_41.webp
454,"(46, 67, 96)","(68, 74, 95)",amecaji_images/8_42.webp
455,"(80, 71, 74)","(45, 84, 137)",amecaji_images/8_43.webp
456,"(56, 56, 60)","(47, 46, 47)",amecaji_images/8_44.webp
457,"(93, 88, 93)","(94, 88, 91)",amecaji_images/8_45.webp
458,"(55, 74, 104)","(89, 103, 123)",amecaji_images/8_46.webp
459,"(91, 106, 135)","(140, 156, 188)",amecaji_images/8_47.webp
460,"(109, 97, 95)","(147, 143, 151)",amecaji_images/8_48.webp
461,"(92, 92, 104)","(78, 119, 156)",amecaji_images/8_49.webp
462,"(75, 76, 87)","(75, 79, 89)",amecaji_images/8_50.webp
463,"(87, 107, 141)","(97, 106, 131)",amecaji_images/8_51.webp
464,"(77, 71, 70)","(105, 97, 104)",amecaji_images/8_52.webp
465,"(49, 52, 65)","(84, 81, 87)",amecaji_images/8_53.webp
466,"(49, 53, 62)","(92, 82, 78)",amecaji_images/8_54.webp
467,"(115, 89, 87)","(87, 79, 77)",amecaji_images/8_55.webp
468,"(123, 140, 177)","(131, 140, 170)",amecaji_images/8_56.webp
469,"(54, 55, 59)","(152, 151, 160)",amecaji_images/8_57.webp
470,"(60, 68, 91)","(95, 97, 111)",amecaji_images/8_58.webp
471,"(91, 85, 104)","(65, 83, 126)",amecaji_images/8_59.webp
472,"(45, 53, 56)","(81, 76, 73)",amecaji_images/9_0.webp
473,"(79, 76, 70)","(165, 142, 130)",amecaji_images/9_1.webp
474,"(110, 107, 100)","(102, 88, 75)",amecaji_images/9_2.webp
475,"(101, 118, 162)","(169, 152, 139)",amecaji_images/9_3.webp
476,"(69, 64, 54)","(41, 39, 37)",amecaji_images/9_4.webp
477,"(37, 41, 55)","(54, 55, 62)",amecaji_images/9_5.webp
478,"(93, 95, 107)","(101, 103, 118)",amecaji_images/9_6.webp
479,"(91, 114, 143)","(135, 159, 186)",amecaji_images/9_7.webp
480,"(82, 107, 147)","(150, 158, 186)",amecaji_images/9_8.webp
481,"(94, 70, 56)","(55, 59, 69)",amecaji_images/9_9.webp
482,"(147, 150, 149)","(75, 74, 75)",amecaji_images/9_10.webp
483,"(40, 43, 48)","(53, 59, 75)",amecaji_images/9_11.webp
484,"(49, 56, 68)","(59, 55, 55)",amecaji_images/9_12.webp
485,"(75, 78, 95)","(85, 94, 113)",amecaji_images/9_13.webp
486,"(46, 47, 49)","(152, 149, 148)",amecaji_images/9_14.webp
487,"(111, 118, 152)","(94, 84, 90)",amecaji_images/9_15.webp
488,"(90, 87, 81)","(53, 76, 102)",amecaji_images/9_16.webp
489,"(131, 124, 115)","(159, 151, 140)",amecaji_images/9_17.webp
490,"(34, 34, 37)","(52, 59, 54)",amecaji_images/9_18.webp
491,"(111, 109, 117)","(113, 125, 128)",amecaji_images/9_19.webp
492,"(48, 59, 91)","(86, 81, 93)",amecaji_images/9_20.webp
493,"(85, 77, 74)","(99, 81, 86)",amecaji_images/9_21.webp
494,"(90, 52, 66)","(64, 59, 72)",amecaji_images/9_22.webp
495,"(117, 95, 98)","(125, 121, 133)",amecaji_images/9_23.webp
496,"(70, 80, 105)","(81, 92, 114)",amecaji_images/9_24.webp
